"","Position","Density"
"1",8364,0.0279155188246097
"2",8365,0.0339761248852158
"3",8366,0.0343434343434343
"4",8368,0.0345270890725436
"5",8369,0.0348943985307622
"6",8370,0.0358126721763085
"7",8371,0.0380165289256198
"8",8372,0.0431588613406795
"9",8373,0.0451790633608815
"10",8374,0.0492194674012856
"11",8375,0.0497704315886134
"12",8376,0.0499540863177227
"13",8377,0.0506887052341598
"14",8378,0.0512396694214876
"15",8379,0.0519742883379247
"16",8380,0.0528925619834711
"17",8381,0.0545454545454545
"18",8382,0.0547291092745638
"19",8383,0.0549127640036731
"20",8384,0.0550964187327824
"21",8388,0.056198347107438
"22",8391,0.0549127640036731
"23",8393,0.0460973370064279
"24",8394,0.024058769513315
"25",8395,0.0216712580348944
"26",8396,0.020752984389348
"27",8397,0.0205693296602387
"28",8398,0.020752984389348
"29",8399,0.0203856749311295
"30",8401,0.0202020202020202
"31",8402,0.0203856749311295
"32",8403,0.020752984389348
"33",8404,0.0205693296602387
"34",8405,0.0203856749311295
"35",8406,0.0198347107438017
"36",8407,0.0185491276400367
"37",8408,0.0159779614325069
"38",8409,0.0123048668503214
"39",8410,0.00844811753902663
"40",8411,0.00734618916437098
"41",8412,0.00716253443526171
"42",8413,0.00697887970615243
"43",8414,0.00716253443526171
"44",8415,0.00734618916437098
"45",8416,0.00550964187327824
"46",8417,0.00532598714416896
"47",8418,0.00477502295684114
"48",8419,0.00459136822773186
"49",8420,0.00477502295684114
"50",8423,0.00495867768595041
"51",8424,0.00550964187327824
"52",8425,0.00624426078971534
"53",8426,0.00642791551882461
"54",8427,0.00752984389348026
"55",8428,0.00826446280991736
"56",8430,0.0086317722681359
"57",8434,0.00844811753902663
"58",8435,0.0086317722681359
"59",8436,0.00881542699724518
"60",8437,0.00899908172635445
"61",8438,0.0086317722681359
"62",8441,0.00844811753902663
"63",8442,0.00789715335169881
"64",8443,0.00826446280991736
"65",8444,0.00899908172635445
"66",8445,0.0161616161616162
"67",8446,0.016712580348944
"68",8447,0.0183654729109275
"69",8448,0.0200183654729109
"70",8449,0.0203856749311295
"71",8451,0.0205693296602387
"72",8452,0.0209366391184573
"73",8453,0.0218549127640037
"74",8454,0.0238751147842057
"75",8455,0.0242424242424242
"76",8456,0.024058769513315
"77",8457,0.0238751147842057
"78",8458,0.0235078053259871
"79",8459,0.0242424242424242
"80",8460,0.0319559228650138
"81",8461,0.0303030303030303
"82",8462,0.030119375573921
"83",8464,0.0303030303030303
"84",8465,0.0297520661157025
"85",8466,0.0299357208448118
"86",8468,0.0297520661157025
"87",8469,0.0295684113865932
"88",8471,0.0297520661157025
"89",8472,0.0299357208448118
"90",8473,0.0297520661157025
"91",8474,0.0292011019283747
