"","Position","AUC"
"1",50,NA
"2",51,NA
"3",52,NA
"4",53,NA
"5",54,NA
"6",55,NA
"7",56,NA
"8",57,NA
"9",58,NA
"10",59,NA
"11",60,NA
"12",61,NA
"13",62,NA
"14",63,NA
"15",64,NA
"16",65,NA
"17",66,NA
"18",67,NA
"19",68,NA
"20",69,NA
"21",70,NA
"22",71,NA
"23",72,NA
"24",73,NA
"25",74,NA
"26",75,NA
"27",76,NA
"28",77,NA
"29",78,NA
"30",79,NA
"31",80,NA
"32",81,NA
"33",82,NA
"34",83,NA
"35",84,NA
"36",85,NA
"37",86,NA
"38",87,NA
"39",88,NA
"40",89,NA
"41",90,NA
"42",91,NA
"43",92,NA
"44",93,NA
"45",94,NA
"46",95,NA
"47",96,NA
"48",97,NA
"49",98,NA
"50",99,NA
"51",100,NA
"52",101,NA
"53",102,NA
"54",103,NA
"55",104,NA
"56",105,NA
"57",106,NA
"58",107,NA
"59",108,NA
"60",109,NA
"61",110,NA
"62",111,NA
"63",112,NA
"64",113,NA
"65",114,NA
"66",115,NA
"67",116,NA
"68",117,NA
"69",118,NA
"70",119,NA
"71",120,NA
"72",121,NA
"73",122,NA
"74",123,NA
"75",124,NA
"76",125,NA
"77",126,NA
"78",127,NA
"79",128,NA
"80",129,NA
"81",130,NA
"82",131,NA
"83",132,NA
"84",133,NA
"85",134,NA
"86",135,NA
"87",136,NA
"88",137,NA
"89",138,NA
"90",139,NA
"91",140,NA
"92",141,NA
"93",142,NA
"94",143,NA
"95",144,NA
"96",145,NA
"97",146,NA
"98",147,NA
"99",148,NA
"100",149,NA
"101",150,NA
"102",151,NA
"103",152,NA
"104",153,NA
"105",154,NA
"106",155,NA
"107",156,NA
"108",157,NA
"109",158,NA
"110",159,NA
"111",160,NA
"112",161,NA
"113",162,NA
"114",163,NA
"115",164,NA
"116",165,NA
"117",166,NA
"118",167,NA
"119",168,NA
"120",169,NA
"121",170,NA
"122",171,NA
"123",172,NA
"124",173,NA
"125",174,NA
"126",175,NA
"127",176,NA
"128",177,NA
"129",178,NA
"130",179,NA
"131",180,NA
"132",181,NA
"133",182,NA
"134",183,NA
"135",184,NA
"136",185,NA
"137",186,NA
"138",187,NA
"139",188,NA
"140",189,NA
"141",190,NA
"142",191,NA
"143",192,NA
"144",193,NA
"145",194,NA
"146",195,NA
"147",196,NA
"148",197,NA
"149",198,NA
"150",199,NA
"151",200,NA
"152",201,NA
"153",202,NA
"154",203,NA
"155",204,NA
"156",205,NA
"157",206,NA
"158",207,NA
"159",208,NA
"160",209,NA
"161",210,NA
"162",211,NA
"163",212,NA
"164",213,NA
"165",214,NA
"166",215,NA
"167",216,NA
"168",217,NA
"169",218,NA
"170",219,NA
"171",220,NA
"172",221,0.984848484848485
"173",222,0.977272727272727
"174",223,0.976923076923077
"175",224,0.9765625
"176",225,0.976190476190476
"177",226,0.983870967741935
"178",227,0.983606557377049
"179",228,0.987704918032787
"180",229,0.987704918032787
"181",230,0.9875
"182",231,0.9875
"183",232,0.9875
"184",233,0.9875
"185",234,0.98728813559322
"186",235,0.9875
"187",236,0.9875
"188",237,0.98728813559322
"189",238,0.98728813559322
"190",239,0.989655172413793
"191",240,0.991379310344828
"192",241,0.989974937343358
"193",242,0.989974937343358
"194",243,0.989795918367347
"195",244,0.98961038961039
"196",245,0.98941798941799
"197",246,0.98961038961039
"198",247,0.989795918367347
"199",248,0.989795918367347
"200",249,0.98961038961039
"201",250,0.98961038961039
"202",251,0.98961038961039
"203",252,0.98961038961039
"204",253,0.989795918367347
"205",254,0.98961038961039
"206",255,0.989795918367347
"207",256,0.989795918367347
"208",257,0.98961038961039
"209",258,0.98941798941799
"210",259,0.98941798941799
"211",260,0.98921832884097
"212",261,0.98921832884097
"213",262,0.98921832884097
"214",263,0.98921832884097
"215",264,0.989010989010989
"216",265,0.991596638655462
"217",266,0.991428571428571
"218",267,0.991253644314869
"219",268,0.991253644314869
"220",269,0.991071428571429
"221",270,0.991071428571429
"222",271,0.990881458966565
"223",272,0.990881458966565
"224",273,0.990683229813665
"225",274,0.990683229813665
"226",275,0.990881458966565
"227",276,0.990881458966565
"228",277,0.991071428571429
"229",278,0.990881458966565
"230",279,0.991071428571429
"231",280,0.991071428571429
"232",281,0.990881458966565
"233",282,1
"234",283,1
"235",284,1
"236",285,1
"237",286,0.994169096209913
"238",287,0.994169096209913
"239",288,0.994285714285714
"240",289,0.994397759103641
"241",290,0.994397759103641
"242",291,0.994285714285714
"243",292,0.994169096209913
"244",293,0.994169096209913
"245",294,0.994169096209913
"246",295,0.994169096209913
"247",296,0.994169096209913
"248",297,0.994285714285714
"249",298,0.994169096209913
"250",299,0.994047619047619
"251",300,0.994047619047619
"252",301,0.994047619047619
"253",302,0.993920972644377
"254",303,0.993920972644377
"255",304,0.994047619047619
"256",305,0.994047619047619
"257",306,0.994169096209913
"258",307,0.994169096209913
"259",308,0.994047619047619
"260",309,0.994047619047619
"261",310,0.994047619047619
"262",311,0.994047619047619
"263",312,0.993920972644377
"264",313,0.994047619047619
"265",314,0.994047619047619
"266",315,0.994047619047619
"267",316,0.994169096209913
"268",317,0.994169096209913
"269",318,0.994047619047619
"270",319,0.994169096209913
"271",320,0.994047619047619
"272",321,0.993055555555555
"273",322,0.995918367346939
"274",323,0.996
"275",324,0.996
"276",325,0.996078431372549
"277",326,0.995192307692308
"278",327,0.995192307692308
"279",328,0.993589743589744
"280",329,0.993589743589744
"281",330,0.993710691823899
"282",331,0.993827160493827
"283",332,0.993939393939394
"284",333,0.993939393939394
"285",334,0.994047619047619
"286",335,0.994047619047619
"287",336,0.994047619047619
"288",337,0.994152046783626
"289",338,0.994252873563218
"290",339,0.991379310344828
"291",340,0.983050847457627
"292",341,NA
"293",342,NA
"294",343,NA
"295",344,NA
"296",345,NA
"297",346,NA
"298",347,NA
"299",348,NA
